Monthly_Income,Current_EMIs,Employment_Type,Credit_Score,Loan_Amount,Tenure_Years,Age,Bank_Interest_Rate,Processing_Fee_Percentage,Minimum_Tenure_Allowed,Maximum_Tenure_Allowed,Loan_Status
87599,6003,Salaried,656,1421914,10,48,8.87,2.25,1,17,0
79213,7655,Salaried,693,3224873,14,56,17.59,2.05,3,15,0
179458,21274,Salaried,742,3378371,11,22,8.94,0.55,3,14,1
103291,10227,Salaried,650,1297569,7,29,16.87,1.39,3,13,1
47996,18152,Salaried,688,3980266,1,43,17.0,0.75,2,29,0
52310,6575,Self-Employed,734,2977579,5,35,13.48,1.25,1,25,0
72812,26992,Salaried,708,416563,4,33,9.8,0.67,1,17,0
77164,20358,Student,734,3618176,9,43,13.87,2.8,1,21,0
22176,8379,Salaried,714,2340338,11,37,14.47,1.63,2,14,0
127218,5375,Salaried,693,1067815,12,22,16.65,0.97,3,14,1
173432,62294,Salaried,675,2087949,8,40,13.73,1.96,2,22,0
83105,23765,Self-Employed,621,1884219,12,40,12.4,0.99,2,20,0
183298,19095,Student,699,1988541,2,23,16.46,2.51,3,20,0
79660,13883,Salaried,658,771197,6,32,17.82,1.26,1,28,0
181494,21251,Salaried,707,87860,5,22,14.63,1.29,2,16,1
92919,28963,Self-Employed,631,3220508,3,56,16.81,2.67,3,26,0
15661,678,Student,743,3146833,11,34,14.19,1.9,3,14,0
67452,11737,Salaried,646,1243712,12,36,15.05,2.72,1,15,0
177267,28979,Salaried,653,2302216,9,39,15.04,1.53,3,27,0
61698,3884,Self-Employed,699,1459674,13,54,15.2,1.36,3,27,0
24747,7462,Student,724,483022,1,26,11.55,1.77,3,18,0
151590,50350,Salaried,719,1541509,1,33,13.97,0.65,1,27,1
169114,11642,Salaried,695,1118499,9,56,14.14,0.89,1,28,0
24227,3044,Self-Employed,690,2571408,12,42,11.49,1.05,3,26,0
184505,13024,Self-Employed,626,4412343,11,38,11.82,2.54,3,18,0
142393,42284,Self-Employed,720,925229,11,32,15.74,2.33,1,10,0
32349,12298,Salaried,714,183777,5,50,14.04,0.98,1,29,0
145241,29704,Salaried,677,2283170,10,27,9.92,1.19,1,27,0
135138,49612,Salaried,704,981025,8,52,16.46,2.86,2,22,0
22629,289,Salaried,671,3276714,1,39,16.89,0.71,1,17,0
191703,4937,Self-Employed,703,4385606,7,26,12.93,1.87,3,23,1
144272,20442,Salaried,738,4891414,10,40,10.48,1.81,1,12,0
19437,3050,Salaried,639,1768649,8,47,17.5,2.31,3,13,0
89718,19870,Salaried,667,886635,11,57,16.88,1.15,3,20,0
132275,19641,Self-Employed,691,4843191,1,27,10.82,2.84,3,16,0
170753,47455,Self-Employed,764,131774,7,25,9.41,1.53,1,30,0
92159,12671,Salaried,617,2787521,2,31,12.69,1.21,1,14,1
162075,5535,Salaried,796,4189490,4,35,14.93,1.34,1,11,0
81929,27668,Self-Employed,731,1627190,14,23,10.17,1.37,1,15,1
43341,3880,Salaried,641,4618281,13,25,13.38,1.0,1,29,0
96280,24970,Student,643,1989058,14,43,12.54,2.82,2,14,0
189490,70037,Student,699,2570939,13,57,16.96,0.94,1,24,0
95010,22662,Salaried,750,985266,6,29,12.58,2.71,2,20,0
38519,710,Self-Employed,680,440979,5,35,13.57,1.51,3,14,0
140220,17851,Self-Employed,669,1398745,6,23,17.58,1.17,3,27,0
125948,41500,Self-Employed,730,2372958,14,49,11.35,1.0,3,17,0
173546,39534,Salaried,672,4014931,5,26,11.25,1.76,3,20,0
183473,7361,Self-Employed,785,4735633,4,37,16.1,2.17,2,26,0
103148,21999,Salaried,750,3128163,6,46,11.14,2.75,2,23,1
69721,16411,Student,671,134027,9,41,16.4,2.13,3,11,0
63241,4291,Salaried,745,911064,3,28,9.41,1.71,1,16,0
27612,8759,Self-Employed,797,733174,2,41,9.56,0.58,3,27,0
65767,1849,Salaried,686,4033682,13,31,17.06,2.79,3,10,0
158933,24218,Salaried,811,2681339,12,58,13.64,2.76,2,24,0
163036,51167,Salaried,725,4578846,8,28,15.33,1.45,3,10,0
164316,11876,Salaried,747,3828134,2,44,10.64,0.57,2,26,0
169099,18274,Salaried,696,124007,7,55,10.08,2.33,2,16,0
44676,16781,Self-Employed,661,991047,4,34,16.43,2.48,3,25,0
132724,12984,Salaried,754,768787,8,34,11.91,1.86,1,11,1
106777,41037,Salaried,751,3709669,5,30,12.82,1.51,2,24,0
112130,10487,Salaried,744,2044100,10,32,8.77,2.63,2,29,0
117229,43952,Salaried,669,2697832,2,58,12.17,0.98,2,20,0
46715,6546,Self-Employed,695,4393511,2,54,15.82,1.6,3,11,0
186427,15448,Salaried,699,4850778,6,30,16.3,0.56,3,20,0
57148,22297,Self-Employed,678,1003449,5,37,15.14,0.91,2,30,0
173478,17086,Self-Employed,718,1608493,12,37,15.08,2.85,1,25,1
87691,10201,Student,733,3146301,9,23,13.31,1.95,3,11,0
87189,26305,Salaried,705,4640538,14,51,13.61,2.51,1,28,0
78568,24916,Salaried,646,250029,10,21,15.56,1.72,1,25,0
142956,14471,Salaried,628,1457922,5,32,10.85,2.59,3,17,0
45437,17241,Student,724,1642163,5,59,10.7,1.85,2,30,0
180871,34693,Self-Employed,634,4207325,13,24,17.52,0.51,1,29,0
103618,18030,Salaried,648,374096,12,33,8.76,2.75,2,14,0
170127,29090,Salaried,652,365782,4,54,9.82,0.87,1,17,1
47794,19054,Salaried,542,1884574,7,41,13.92,1.63,2,23,0
140208,46474,Student,687,2489857,9,42,15.51,1.69,3,23,0
125976,31229,Self-Employed,587,2496493,7,24,13.61,0.62,1,27,0
76525,30597,Self-Employed,691,667612,6,38,11.87,0.63,1,14,0
180765,15457,Salaried,696,3809569,7,25,17.79,2.41,1,19,0
199853,51234,Self-Employed,742,374707,14,39,15.19,1.25,2,24,1
34478,4379,Salaried,714,734228,4,22,16.4,1.52,1,22,0
60246,18203,Salaried,682,1874957,3,32,8.88,1.91,1,18,0
131581,10535,Salaried,701,2246048,1,37,10.74,1.43,2,18,0
169549,30977,Self-Employed,689,2684735,2,30,12.05,2.44,2,28,1
59265,5905,Self-Employed,688,2109696,3,54,10.23,2.71,3,18,0
99918,17725,Salaried,750,3539605,9,26,9.19,0.65,2,14,0
162387,40857,Self-Employed,755,2798733,10,28,10.64,2.09,1,15,0
23438,2224,Self-Employed,696,4295254,2,31,13.57,1.29,1,19,0
145526,51779,Salaried,626,701936,4,32,15.11,1.96,3,19,0
131837,36194,Salaried,660,1133991,7,29,15.85,1.71,3,15,1
97253,8855,Student,746,4288763,10,22,8.91,1.33,1,30,0
187972,23199,Salaried,734,2439504,1,28,12.57,0.74,2,10,0
26452,974,Salaried,672,3786172,12,31,9.66,1.9,1,29,0
125337,8785,Salaried,767,1365249,14,56,12.6,0.78,3,22,0
129012,39994,Salaried,676,3310349,13,30,12.62,0.89,1,17,0
191285,62793,Salaried,621,3717415,10,41,13.23,2.96,1,22,0
90813,33443,Salaried,757,798154,3,40,16.98,1.29,1,15,1
118297,8807,Student,583,4253440,5,28,16.15,1.96,3,28,0
126898,38434,Salaried,662,566566,4,56,14.55,1.18,3,21,0
125402,2090,Salaried,724,2842239,14,49,16.91,2.66,3,24,0
24545,8955,Salaried,674,1541402,4,32,14.95,1.21,2,17,0
192606,48702,Salaried,666,140630,7,34,16.28,1.42,3,20,1
105454,6808,Salaried,655,4423884,7,41,13.86,2.02,2,18,0
18704,1900,Salaried,703,4646065,8,42,13.49,2.67,2,28,0
24437,9215,Self-Employed,679,3319597,12,41,15.38,2.54,3,20,0
126308,4462,Salaried,704,3344883,10,50,8.69,1.16,2,15,1
56214,11169,Self-Employed,742,3328650,13,59,15.06,2.57,2,24,0
103664,18917,Salaried,707,2383461,9,40,17.38,2.25,1,26,0
115080,1867,Salaried,676,4313171,1,44,15.28,2.97,2,21,0
39490,5108,Self-Employed,739,3191968,12,43,8.85,2.84,2,11,0
51968,20145,Self-Employed,758,1392562,6,27,12.09,1.83,3,30,0
67266,12070,Salaried,704,3436271,4,29,16.19,2.37,1,13,0
151256,37064,Salaried,719,1327146,3,21,17.61,1.93,2,12,0
155231,3012,Salaried,741,1606977,6,46,12.02,1.99,2,11,1
70366,1905,Salaried,650,985886,5,58,16.49,0.75,2,28,0
94902,7229,Self-Employed,663,555448,1,58,16.71,0.51,3,14,0
64715,6301,Salaried,680,4687405,1,42,9.67,0.62,3,26,0
127517,29692,Salaried,672,459484,4,30,16.53,2.92,1,25,1
54848,18476,Student,706,1620901,14,26,11.58,0.82,2,25,0
104355,27631,Self-Employed,643,2910208,3,37,14.14,0.61,1,21,0
119146,40039,Salaried,751,3912143,1,58,13.62,1.27,3,13,0
154245,46992,Self-Employed,784,4644396,13,44,14.8,1.97,2,26,1
123808,1699,Salaried,735,2152901,9,30,15.53,2.87,2,28,0
147666,19825,Salaried,749,950535,14,28,12.69,2.25,1,11,0
19521,2342,Salaried,630,4908700,14,41,16.94,1.19,2,14,0
69797,19065,Salaried,719,120126,3,26,16.19,2.85,3,10,1
139249,17422,Salaried,720,789067,5,41,15.96,0.59,1,23,1
134410,28943,Salaried,691,83563,14,59,12.85,2.95,1,18,0
27727,9546,Self-Employed,662,2464756,12,44,8.86,0.65,2,26,0
195192,28444,Salaried,703,3623631,5,53,13.18,2.38,3,21,1
61554,207,Self-Employed,605,912779,10,38,17.04,0.61,2,29,1
151961,26457,Self-Employed,680,3813114,8,48,10.31,2.83,1,21,0
186301,290,Salaried,657,180351,11,52,17.83,0.77,1,24,0
98542,13029,Self-Employed,733,992162,12,32,16.17,0.63,3,25,0
109358,36460,Salaried,782,3432518,5,47,15.24,2.72,1,27,1
191242,33493,Salaried,687,1584105,1,30,14.93,0.74,3,23,0
72238,27071,Salaried,716,4376200,6,52,14.08,2.49,2,21,0
169948,16734,Salaried,666,3830333,8,46,15.35,2.37,3,20,1
17509,2672,Salaried,751,3789710,3,45,12.51,2.0,2,24,0
199345,73343,Salaried,712,4104027,6,31,16.53,1.44,2,30,0
129447,38848,Student,695,3134130,13,43,15.12,2.79,1,30,0
162406,11557,Student,718,2588981,2,54,15.83,2.68,2,17,0
35829,13644,Salaried,654,1669932,14,43,16.03,1.57,1,26,0
20613,211,Student,793,2482607,1,49,9.37,1.08,3,17,0
69690,13941,Self-Employed,792,1264901,7,51,9.03,1.18,3,13,0
34782,6255,Salaried,699,2394447,13,27,16.11,1.05,2,19,0
107729,40415,Salaried,690,381049,11,53,10.96,1.85,3,15,0
21553,6830,Self-Employed,777,1328055,2,41,14.03,2.67,2,15,0
119706,9761,Salaried,706,2905869,6,22,12.72,2.43,3,26,0
70689,23895,Salaried,695,463222,14,38,8.71,2.49,2,17,0
139220,39204,Self-Employed,629,4793801,6,53,8.88,1.62,2,22,1
137841,21140,Salaried,732,2493109,5,57,16.36,1.31,3,24,0
86889,2751,Salaried,717,1783028,12,54,14.27,2.39,3,13,0
64008,649,Salaried,653,1655466,7,40,13.48,2.48,3,24,1
136339,45216,Salaried,691,1102103,10,55,17.47,2.24,3,23,0
42113,10478,Salaried,763,1421644,12,38,10.14,0.58,2,20,1
89361,24372,Self-Employed,590,752775,12,44,10.95,1.97,2,29,0
104606,18542,Salaried,723,3677857,7,28,15.69,1.37,3,26,1
41117,7659,Salaried,652,755135,9,50,15.86,0.99,3,19,0
66979,4415,Student,704,1855516,9,30,12.35,2.24,1,15,1
196733,44349,Self-Employed,727,4108893,2,43,17.53,1.17,2,15,0
31294,7556,Salaried,634,1177085,4,31,17.41,2.78,2,10,0
37794,2000,Self-Employed,662,1788388,1,22,8.62,1.25,3,14,0
21782,3076,Salaried,676,3602025,8,46,10.14,1.89,1,13,0
112361,7785,Salaried,667,4110098,10,56,16.29,2.57,3,20,0
173431,14492,Salaried,779,1798986,4,53,11.68,1.51,2,26,1
130886,15433,Salaried,666,4466751,2,33,9.41,2.57,2,16,0
158450,61672,Self-Employed,751,4222499,12,45,15.96,2.31,1,29,0
82647,15907,Salaried,748,1147443,13,24,12.82,2.8,3,12,0
46135,12794,Student,615,3176540,6,39,13.18,1.31,1,11,0
123626,7708,Salaried,698,272287,10,38,10.27,0.76,3,17,0
177326,21426,Salaried,671,2015873,4,57,14.78,1.58,1,14,0
82883,17975,Self-Employed,756,752899,1,50,13.74,2.46,3,14,0
159755,57063,Salaried,630,3784912,13,39,10.46,1.63,3,19,0
33688,107,Self-Employed,675,1163775,7,43,11.73,1.15,3,21,0
39942,7163,Salaried,663,2211922,13,36,14.17,0.57,2,26,0
152212,53568,Salaried,688,897285,5,21,17.29,1.28,3,23,0
141399,49894,Salaried,707,1178963,12,32,17.24,2.28,2,14,0
38823,2334,Student,789,116138,13,44,11.24,0.87,1,14,0
130130,30613,Salaried,617,3853389,8,54,15.49,1.35,3,15,0
29073,3566,Salaried,799,3247356,13,28,15.87,0.55,2,24,0
22120,4010,Self-Employed,674,4599974,3,38,16.18,2.3,1,14,0
44712,8787,Salaried,830,2605318,4,25,13.92,2.7,3,17,0
35151,9859,Salaried,716,808420,9,46,8.6,1.92,1,10,1
179976,20515,Self-Employed,712,1951959,14,50,15.74,0.56,2,30,0
117566,34456,Salaried,682,3385038,9,33,9.51,1.04,2,12,0
126756,6490,Salaried,723,1642194,8,39,9.61,1.6,3,30,0
160335,27855,Self-Employed,743,4989308,1,49,14.25,1.97,2,28,0
94278,8796,Salaried,738,3587001,6,23,17.84,1.74,2,24,0
39311,15707,Student,692,4070254,7,46,10.8,2.79,1,13,0
22424,6362,Salaried,820,4838666,11,32,14.64,2.85,3,11,0
46488,4350,Self-Employed,787,1219198,1,22,11.38,0.77,3,26,0
45865,1648,Salaried,736,248087,11,31,17.04,0.85,3,21,1
97139,8916,Self-Employed,673,2265752,7,48,14.14,1.4,1,29,0
130427,20679,Self-Employed,651,1534769,14,38,10.47,1.55,2,17,1
112218,13642,Salaried,743,921453,11,33,10.99,1.97,3,14,1
123287,26131,Salaried,638,4500178,9,57,12.61,2.43,3,19,0
33283,3543,Salaried,717,4506488,6,42,9.66,0.84,1,28,0
79172,9224,Self-Employed,752,655182,3,32,9.25,2.51,1,18,0
27812,5851,Salaried,701,4777677,7,22,14.96,2.03,3,25,0
184527,60157,Self-Employed,634,100939,13,57,12.37,2.95,3,10,0
189440,49131,Self-Employed,754,1893367,6,27,15.4,2.13,1,24,1
143566,7083,Student,711,4655505,2,46,9.55,2.29,1,11,0
71485,721,Salaried,834,939108,6,46,14.29,0.99,1,23,1
177441,50605,Self-Employed,714,1514658,13,44,12.71,2.42,1,30,1
62141,12605,Student,641,3142808,14,32,9.05,0.7,2,25,0
27225,1752,Self-Employed,685,1592050,10,36,13.68,2.14,2,19,0
71734,18774,Salaried,704,737332,9,43,9.29,0.64,3,21,1
151898,53227,Salaried,623,1917872,14,29,16.36,0.79,2,22,0
76930,25895,Salaried,771,1562467,7,52,14.5,0.77,1,29,0
17897,2030,Salaried,728,1329783,4,35,13.79,0.63,3,18,0
140998,6599,Salaried,650,3558349,7,57,9.77,1.3,1,11,0
54489,3970,Salaried,729,2086694,12,33,11.23,2.99,2,28,1
29006,9479,Salaried,670,4497875,3,25,13.18,1.37,1,24,0
27607,6132,Salaried,740,1190000,9,31,14.52,2.4,3,24,0
187835,64266,Salaried,751,3512751,4,30,10.24,0.83,2,10,1
79634,16102,Salaried,673,4639573,11,33,8.58,1.64,3,27,0
176689,21384,Salaried,666,1185990,6,35,11.78,0.96,2,30,0
24519,57,Self-Employed,715,1521689,5,27,13.09,0.98,1,16,0
105262,6384,Salaried,734,1576133,8,48,10.25,0.75,3,19,0
100935,39474,Salaried,646,2809283,11,52,13.18,1.58,2,18,0
171082,2658,Salaried,754,2621409,8,55,11.72,0.69,2,28,0
114729,37696,Student,686,488597,13,35,12.82,2.77,2,20,0
86974,22902,Salaried,663,3060005,4,56,11.8,1.62,2,13,1
54277,12288,Self-Employed,704,1795620,11,41,14.47,2.6,1,10,0
160274,16610,Self-Employed,663,4105836,6,26,8.91,2.95,1,21,1
98699,13184,Salaried,773,3404885,4,21,10.12,2.19,2,10,0
167898,12982,Salaried,717,2710568,8,24,12.61,2.75,1,26,1
52607,11677,Salaried,690,1304625,10,31,11.88,0.84,1,29,1
156182,61758,Self-Employed,739,4368869,12,46,12.22,2.57,2,18,0
198656,28960,Salaried,667,2056632,1,57,16.14,1.18,1,17,0
24539,5575,Salaried,602,1142480,3,43,16.92,1.68,3,13,0
138280,605,Self-Employed,791,1637840,4,49,10.86,2.12,3,17,0
21157,6578,Self-Employed,769,423673,2,41,16.45,2.76,1,19,1
17676,1215,Salaried,650,379944,13,47,12.86,2.78,2,27,0
54396,600,Salaried,665,2426461,1,59,11.1,0.73,3,24,0
183178,14965,Self-Employed,687,1297886,3,33,17.86,1.41,1,28,0
23651,7532,Self-Employed,739,96828,5,43,16.34,2.48,1,29,0
67727,21033,Student,691,507569,1,36,17.95,2.26,2,20,0
154518,37584,Student,679,846371,3,50,10.1,0.57,2,13,0
195695,62861,Self-Employed,666,4229303,8,24,9.87,1.62,1,18,0
40526,6710,Self-Employed,737,264691,9,36,13.28,2.57,2,17,1
194517,42843,Salaried,735,1240156,9,51,14.57,2.34,3,25,1
66538,8583,Salaried,682,4006093,14,45,10.13,1.53,3,22,0
159628,4720,Salaried,720,2530603,1,32,16.67,2.34,1,14,0
94370,35446,Self-Employed,688,4994124,3,46,13.55,1.88,1,22,0
137793,52364,Salaried,642,3960529,14,57,12.4,2.78,2,28,0
187967,10534,Salaried,752,981319,8,53,14.22,1.97,3,11,0
91042,2446,Salaried,576,3654703,9,48,14.53,1.5,2,21,0
49076,13497,Student,638,4292929,3,29,8.91,2.66,1,18,0
35377,7072,Self-Employed,631,3703522,9,32,18.0,0.62,1,10,0
186430,3019,Salaried,696,839681,14,25,11.96,2.75,1,23,0
110892,21541,Salaried,619,855855,11,48,9.08,2.24,1,16,0
138818,16,Salaried,653,3962131,10,55,16.6,2.85,1,26,0
110918,42771,Student,699,3240884,13,25,17.93,1.13,1,23,0
56429,1324,Salaried,778,1680995,9,54,16.26,2.24,2,26,0
188459,49394,Self-Employed,672,891048,4,54,16.59,2.52,2,11,0
61503,8207,Salaried,679,1497955,2,33,14.45,2.26,2,18,0
102059,8470,Salaried,642,1841522,1,59,17.26,1.03,3,24,0
115389,17490,Salaried,586,4042536,9,34,8.84,1.19,2,25,0
50445,293,Salaried,642,2731832,12,31,15.78,1.92,1,18,0
97188,23457,Student,704,2327592,5,58,14.87,1.62,2,13,0
191644,6384,Self-Employed,687,596622,5,24,8.97,2.34,2,24,1
25694,2421,Salaried,700,4038095,13,53,13.67,1.45,3,30,0
111404,21677,Self-Employed,781,4858093,8,27,13.39,2.65,1,19,0
53724,14761,Student,684,2204828,13,28,15.07,1.58,3,16,0
198484,1957,Salaried,690,4552457,10,57,9.24,0.6,3,15,0
103618,13331,Self-Employed,754,1531699,10,30,16.15,0.54,3,24,0
179311,64610,Salaried,742,1043592,9,35,9.82,2.12,2,11,1
133337,493,Salaried,737,3106121,1,58,12.48,1.85,1,24,0
89088,24491,Salaried,705,4561266,8,35,16.87,1.86,1,27,0
111729,43743,Self-Employed,758,2269011,11,25,13.83,2.48,3,23,0
142395,15639,Student,648,1289050,13,49,12.11,1.44,1,27,0
50833,7866,Salaried,757,4222306,2,39,8.96,2.99,1,12,0
42807,9524,Salaried,718,3591204,9,30,14.89,2.86,3,29,0
151550,5798,Salaried,631,443050,6,32,17.87,0.53,2,23,1
61804,23326,Salaried,609,652390,9,24,17.16,2.74,3,15,0
36533,3998,Salaried,727,4218074,13,51,15.31,2.2,3,23,0
67025,1450,Self-Employed,739,3497692,1,38,9.5,1.76,2,11,0
37528,2055,Salaried,778,1726858,9,36,10.77,1.96,2,25,1
39819,8331,Salaried,681,3784485,4,56,10.28,2.6,2,25,0
180902,39352,Salaried,667,4788622,4,45,11.88,2.88,2,30,1
137357,5290,Salaried,705,1755755,9,43,10.74,1.9,3,26,1
172855,11480,Salaried,714,3698601,12,32,10.82,0.95,2,25,1
113718,28670,Salaried,625,3922961,3,54,14.36,2.1,1,25,0
46544,10260,Salaried,729,4788946,1,56,11.53,0.69,3,17,0
103490,35720,Self-Employed,713,3602550,7,57,14.93,2.09,3,15,0
168388,53403,Student,708,4446100,11,23,17.5,2.52,2,27,0
84769,28919,Salaried,690,1165847,14,29,14.57,1.38,2,23,0
114482,14422,Salaried,709,4830626,1,38,15.64,0.68,1,25,0
35286,7210,Salaried,721,1649594,3,55,15.64,2.23,2,17,0
68737,19106,Salaried,724,3506768,12,54,11.64,1.35,3,27,0
178000,18323,Salaried,694,4879910,13,34,8.64,1.12,2,23,1
72314,14515,Salaried,713,4355419,5,24,9.02,2.22,1,26,1
49675,3991,Salaried,714,2969015,11,49,11.18,2.92,3,17,0
158534,10397,Self-Employed,704,496512,10,35,15.05,2.36,3,25,1
92972,6747,Self-Employed,665,1520839,10,48,17.11,1.73,2,19,1
18910,3496,Salaried,597,1261946,8,36,17.61,2.0,1,19,0
68054,10501,Salaried,693,2357123,9,32,8.75,0.86,1,30,0
28683,6394,Salaried,730,4583768,1,25,17.91,2.53,2,27,0
170620,38328,Self-Employed,700,4349726,9,54,11.56,2.01,3,30,0
78689,4805,Salaried,761,4839261,1,21,16.51,2.91,3,27,0
161632,10404,Salaried,682,1614555,5,59,10.21,2.95,3,18,0
162186,15028,Salaried,683,1813964,7,52,9.1,1.39,2,30,0
86567,4176,Self-Employed,760,3118730,9,46,12.09,2.97,3,10,1
115414,14775,Student,642,593228,5,37,16.66,2.89,3,25,0
157199,42583,Student,687,1354982,8,47,10.6,2.1,2,19,0
154229,42254,Salaried,664,2791864,14,44,9.96,1.33,3,24,0
121170,24007,Self-Employed,574,1969031,11,55,17.14,2.38,2,14,0
168372,24592,Salaried,650,3717955,12,59,17.41,1.18,1,26,0
122509,34283,Salaried,762,4769006,1,46,8.62,2.07,1,18,0
85507,15145,Student,739,4861895,2,58,15.41,0.56,2,15,0
120632,27752,Self-Employed,706,62708,12,43,11.44,2.07,2,11,0
147609,35936,Salaried,744,4970260,13,42,12.06,2.88,2,22,1
41814,10065,Salaried,766,3599382,8,24,12.96,1.09,3,27,1
34661,2021,Self-Employed,721,2891983,9,29,12.55,2.45,3,29,0
136433,19462,Salaried,702,2594249,4,24,13.39,1.23,2,13,0
138842,19475,Salaried,684,572812,7,27,14.03,2.27,2,19,1
159243,23129,Salaried,697,535943,12,43,12.92,2.25,3,20,0
127976,16312,Self-Employed,722,4273925,14,22,15.16,0.96,3,22,0
47035,13953,Student,675,2160126,9,44,15.33,1.99,2,26,0
43612,10418,Salaried,754,2829203,2,51,12.68,2.65,3,20,0
151973,40847,Salaried,702,261724,14,51,9.85,1.46,3,13,0
48489,1804,Salaried,775,1352020,1,54,14.59,2.28,1,23,0
28229,10903,Salaried,710,4600114,13,44,15.84,2.19,2,12,0
183753,23720,Salaried,649,4645150,1,46,14.56,1.14,2,21,0
23329,1753,Self-Employed,679,2858591,8,36,14.09,2.8,3,13,0
66003,6520,Salaried,652,741455,8,33,10.68,1.91,1,25,0
66218,13095,Salaried,747,268316,4,35,14.63,1.39,2,16,0
61995,2434,Self-Employed,608,4448714,9,47,11.68,0.91,2,29,0
174179,10552,Salaried,708,2057648,4,24,17.24,1.68,3,28,0
94613,27217,Self-Employed,766,3837588,6,36,14.71,2.33,2,27,0
118218,10558,Salaried,687,4401608,12,50,11.14,2.06,3,30,0
130277,41594,Salaried,646,1509489,10,50,12.99,2.32,1,18,0
183546,49057,Salaried,765,2680802,4,56,16.54,2.48,1,20,0
129045,25975,Self-Employed,801,3212310,1,23,11.69,1.6,2,28,0
120054,32029,Self-Employed,626,3029694,4,42,13.49,1.8,3,26,0
90453,25893,Salaried,686,4664524,2,42,14.96,2.97,1,30,0
160503,44853,Salaried,677,4343677,3,32,15.67,2.92,2,27,0
89496,8451,Salaried,634,1609164,7,41,10.15,1.54,2,15,0
166203,66431,Salaried,638,1109617,10,24,13.87,2.21,2,12,0
185663,67673,Self-Employed,653,4277814,9,51,17.17,1.17,3,23,1
71718,7681,Salaried,679,4723245,1,51,17.7,0.88,3,18,0
123151,47036,Self-Employed,715,2518808,5,43,14.73,2.42,1,12,1
171252,63576,Self-Employed,748,1867237,3,40,17.84,1.59,3,11,0
77971,28602,Salaried,693,3025824,14,35,13.92,0.94,3,28,0
116242,31401,Salaried,801,1878123,12,43,12.7,2.4,2,15,1
99428,15711,Salaried,669,1807733,9,48,13.74,2.79,2,12,0
93978,37034,Salaried,657,3557367,13,36,9.6,2.83,1,18,0
75661,9439,Self-Employed,748,2120125,5,57,12.32,1.99,2,27,0
121328,24256,Student,654,423480,12,41,12.85,1.7,2,16,0
25130,1015,Self-Employed,643,1621687,12,35,16.56,0.85,2,11,0
38054,10926,Salaried,759,460004,3,37,15.71,2.48,3,10,1
177085,52849,Salaried,680,272489,3,57,14.21,2.86,2,14,1
97423,24110,Salaried,749,3331983,14,33,11.8,2.72,1,12,0
123500,38728,Student,657,4674501,14,39,10.28,2.38,1,16,0
135747,30434,Student,628,3754242,3,50,11.8,0.51,2,15,0
37989,9812,Self-Employed,634,3866718,3,38,14.96,1.52,2,10,0
85254,16907,Salaried,787,578772,11,34,11.0,1.53,1,28,1
38399,7271,Self-Employed,788,3565489,7,56,12.56,2.74,3,29,0
128204,31340,Salaried,727,4735192,6,56,12.17,0.66,2,23,0
182300,51736,Self-Employed,733,1800116,4,40,15.77,1.83,1,19,0
161652,45124,Salaried,708,4542660,5,39,16.9,0.84,3,11,0
65403,17779,Salaried,652,3837133,10,27,15.14,2.16,1,20,0
71957,4024,Salaried,664,4501930,5,24,11.75,2.48,3,25,0
190503,23671,Self-Employed,704,2269760,8,54,12.62,2.1,1,26,0
186934,41006,Self-Employed,727,145615,2,22,9.86,2.49,1,14,1
176787,12180,Student,783,1543976,7,25,10.1,2.02,3,27,0
29066,1613,Salaried,684,2576427,12,30,10.06,0.97,2,25,1
79981,15526,Student,722,4602854,8,52,9.74,1.46,1,19,0
140902,21670,Salaried,724,1484409,5,33,10.21,2.89,2,15,0
159545,5909,Self-Employed,613,4097573,5,59,10.43,1.22,1,17,0
66517,14847,Salaried,711,363257,7,25,9.56,0.66,3,15,1
31484,8784,Self-Employed,731,2743005,11,30,14.58,1.46,2,13,0
192312,1955,Salaried,709,2252999,12,30,17.91,1.42,3,14,0
97830,6163,Salaried,664,3383483,13,58,16.85,1.68,3,15,0
70001,18754,Salaried,731,2538492,8,47,8.93,1.9,2,24,0
97122,16092,Self-Employed,739,3401187,9,41,12.52,2.98,2,15,0
105358,17114,Salaried,694,370472,1,28,16.66,2.39,2,28,0
189694,59470,Salaried,778,1578026,4,21,9.78,0.59,3,29,0
49918,6103,Salaried,688,4477655,7,48,16.55,2.28,3,17,0
73889,29499,Salaried,745,3288431,10,59,14.13,2.56,3,22,0
50992,17624,Student,668,4619359,1,34,17.35,2.74,2,13,0
45980,3590,Self-Employed,627,4046883,13,41,16.82,1.56,1,26,0
52011,9662,Salaried,736,3876949,4,50,14.93,1.28,2,23,0
39284,11814,Salaried,673,1898242,5,41,14.75,2.6,1,27,0
60599,7772,Salaried,734,565806,13,29,10.53,2.44,3,24,0
26708,7670,Salaried,717,2888184,10,37,9.61,1.84,1,28,0
168680,41214,Salaried,643,2241525,1,25,12.45,0.79,2,20,0
61292,5933,Salaried,649,705914,7,51,10.27,2.13,2,16,1
141123,27749,Self-Employed,640,1935817,13,58,9.47,0.66,2,10,0
153535,58572,Salaried,606,3083588,1,39,11.37,0.75,1,12,0
53867,18984,Student,707,936999,11,56,16.67,1.33,2,28,0
17790,7079,Salaried,777,2396635,14,53,8.66,1.43,1,10,0
113652,34890,Salaried,662,2850339,10,33,11.28,1.65,3,13,0
